TXNAME	GENEID	chr1
BambuTx58	BambuGene237	7
BambuTx59	BambuGene255	4
BambuTx60	BambuGene255	3
BambuTx61	ENSG00000143001.7	20
BambuTx62	BambuGene265	4.57143
BambuTx63	BambuGene265	8
BambuTx64	BambuGene265	14.85714
BambuTx65	BambuGene265	4.57143
BambuTx66	BambuGene273	4
BambuTx67	BambuGene573	2
BambuTx68	ENSG00000235079.2	10
BambuTx69	BambuGene288	1.77452
BambuTx70	BambuGene288	5.78382
BambuTx71	BambuGene288	1.44166
BambuTx72	BambuGene308	4
BambuTx73	BambuGene308	2
BambuTx74	BambuGene312	9
BambuTx75	BambuGene317	2
BambuTx76	BambuGene319	26
BambuTx77	ENSG00000308734.1	9
BambuTx78	ENSG00000116459.11	11
BambuTx79	ENSG00000226419.10	1.71128
BambuTx80	ENSG00000226419.10	8.28872
BambuTx81	BambuGene327	2.75894
BambuTx82	BambuGene327	6.31872
BambuTx83	BambuGene334	7
BambuTx84	BambuGene341	1.96454
BambuTx85	BambuGene341	12.03546
BambuTx86	ENSG00000234222.7	6.21877
BambuTx87	ENSG00000234222.7	1.78123
BambuTx88	BambuGene360	16
BambuTx89	BambuGene366	5
BambuTx90	ENSG00000290074.2	5
BambuTx91	BambuGene374	24
BambuTx92	BambuGene378	3
BambuTx93	ENSG00000306517.1	2
BambuTx94	BambuGene384	37
BambuTx95	BambuGene397	7
BambuTx96	ENSG00000143578.16	4
BambuTx97	BambuGene401	3
BambuTx98	BambuGene409	0.23521
BambuTx99	BambuGene409	33.76479
BambuTx100	BambuGene417	2
BambuTx101	BambuGene417	2
BambuTx102	ENSG00000271380.1	3
BambuTx103	BambuGene584	2
BambuTx104	ENSG00000285677.3	3
BambuTx105	BambuGene425	0.65941
BambuTx106	BambuGene425	0.91911
BambuTx107	BambuGene425	0.71839
BambuTx108	BambuGene425	29.70308
BambuTx109	BambuGene439	7
BambuTx110	ENSG00000298580.1	4
BambuTx111	BambuGene445	4
BambuTx112	BambuGene450	3
BambuTx113	ENSG00000143164.16	2
BambuTx114	BambuGene457	10
BambuTx115	BambuGene464	6
BambuTx116	BambuGene590	5
BambuTx117	BambuGene469	9.07419
BambuTx118	BambuGene469	1.92581
BambuTx119	ENSG00000310095.1	3
BambuTx120	BambuGene476	4.54104
BambuTx121	BambuGene476	3.45896
BambuTx122	BambuGene485	2
BambuTx123	BambuGene496	4
BambuTx124	BambuGene506	9
BambuTx125	BambuGene521	12
BambuTx126	BambuGene528	3
BambuTx127	BambuGene532	2.59338
BambuTx128	BambuGene532	2.87634
BambuTx129	BambuGene532	2.53028
BambuTx130	ENSG00000290037.2	2
BambuTx131	ENSG00000290037.2	2
BambuTx132	ENSG00000305676.1	6
BambuTx133	BambuGene546	7
BambuTx134	ENSG00000273175.3	12.67531
BambuTx135	ENSG00000273175.3	2.00409
BambuTx136	ENSG00000273175.3	2.93781
BambuTx137	ENSG00000273175.3	33.33467
BambuTx138	BambuGene40	2
BambuTx139	BambuGene106	2
BambuTx140	BambuGene150	2
BambuTx141	BambuGene229	2
BambuTx142	BambuGene263	2
BambuTx143	BambuGene264	2
BambuTx144	BambuGene326	22
BambuTx145	BambuGene327	2.92233
BambuTx146	BambuGene373	2
BambuTx147	BambuGene424	3
BambuTx148	BambuGene444	3
BambuTx149	BambuGene468	2
BambuTx150	BambuGene475	2
BambuTx151	BambuGene484	8
BambuTx152	BambuGene520	3
BambuTx153	BambuGene528	2
BambuTx154	BambuGene545	3
BambuTx155	BambuGene559	2
BambuTx156	BambuGene560	2
BambuTx157	BambuGene564	2
BambuTx158	BambuGene567	2
BambuTx159	BambuGene568	2
BambuTx160	BambuGene569	2
BambuTx161	BambuGene570	3
BambuTx162	BambuGene571	10
BambuTx163	BambuGene572	2
BambuTx164	BambuGene575	2
BambuTx165	BambuGene576	12
BambuTx166	BambuGene577	2
BambuTx167	BambuGene578	2
BambuTx168	BambuGene579	2
BambuTx169	BambuGene580	2
BambuTx170	BambuGene581	2
BambuTx171	BambuGene582	2
BambuTx172	BambuGene583	2
BambuTx173	BambuGene586	2
BambuTx174	BambuGene587	2
BambuTx175	BambuGene588	4
BambuTx176	BambuGene589	3
BambuTx177	BambuGene592	2
BambuTx178	BambuGene593	2
BambuTx179	BambuGene594	2
BambuTx180	BambuGene595	2
BambuTx181	BambuGene596	2
BambuTx182	BambuGene597	3
ENST00000003583.12	ENSG00000001460.18	0
ENST00000003912.8	ENSG00000001461.18	0
ENST00000008440.9	ENSG00000010072.16	0
ENST00000009105.5	ENSG00000008118.10	0
ENST00000010299.10	ENSG00000009780.16	0
ENST00000011700.10	ENSG00000048707.15	0
ENST00000037502.11	ENSG00000034971.17	0
ENST00000040877.2	ENSG00000059588.10	0
ENST00000054650.9	ENSG00000041988.16	0
ENST00000054666.11	ENSG00000049245.13	1
ENST00000054668.5	ENSG00000049247.14	0
ENST00000060969.6	ENSG00000052723.12	3
ENST00000072644.7	ENSG00000058799.15	0
ENST00000078527.9	ENSG00000060642.12	0
ENST00000164247.5	ENSG00000069424.16	0
ENST00000166244.8	ENSG00000070886.12	0
ENST00000167825.5	ENSG00000074964.17	0
ENST00000194214.10	ENSG00000081870.12	0
ENST00000196061.5	ENSG00000083444.17	0
ENST00000207157.7	ENSG00000092607.15	0
ENST00000207457.8	ENSG00000092850.12	0
ENST00000209884.5	ENSG00000076321.11	2
ENST00000209929.10	ENSG00000094963.14	0
ENST00000212355.9	ENSG00000069702.11	0
ENST00000230113.6	ENSG00000235200.6	0
ENST00000234549.11	ENSG00000009780.16	0
ENST00000234590.10	ENSG00000074800.16	70
ENST00000234610.5	ENSG00000215914.4	0
ENST00000234626.11	ENSG00000097046.13	0.5
ENST00000234668.6	ENSG00000097096.10	0
ENST00000234677.7	ENSG00000031698.13	8.33802
ENST00000234701.7	ENSG00000016490.16	0
ENST00000234739.8	ENSG00000116128.12	0
ENST00000234816.7	ENSG00000116194.13	0
ENST00000234827.6	ENSG00000116205.14	0
ENST00000234831.10	ENSG00000116209.12	5
ENST00000234875.9	ENSG00000116251.11	2.06167
ENST00000234961.7	ENSG00000116329.12	0
ENST00000235090.10	ENSG00000116455.14	3
ENST00000235150.5	ENSG00000116514.17	0
ENST00000235180.4	ENSG00000116544.12	0
ENST00000235307.7	ENSG00000116667.15	0
ENST00000235310.7	ENSG00000116670.17	0
ENST00000235329.10	ENSG00000116688.18	1
ENST00000235332.6	ENSG00000116691.11	1
ENST00000235345.6	ENSG00000116704.8	0
ENST00000235347.4	ENSG00000187545.5	0
ENST00000235349.6	ENSG00000243073.4	0
ENST00000235372.11	ENSG00000116731.23	0
ENST00000235382.7	ENSG00000116741.8	1
ENST00000235453.8	ENSG00000213047.13	0
ENST00000235521.5	ENSG00000116874.12	2
ENST00000235532.9	ENSG00000116885.18	0
ENST00000235628.2	ENSG00000116981.4	0
ENST00000235790.9	ENSG00000117139.18	0
ENST00000235835.8	ENSG00000053371.14	0
ENST00000235878.5	ENSG00000117226.13	0
ENST00000235932.8	ENSG00000117280.13	0
ENST00000235933.10	ENSG00000117281.16	0
ENST00000235958.4	ENSG00000117305.15	0
ENST00000236017.5	ENSG00000117362.13	0
ENST00000236040.8	ENSG00000117385.16	0
ENST00000236051.3	ENSG00000117395.13	7
ENST00000236067.8	ENSG00000117410.14	0
ENST00000236137.10	ENSG00000117479.15	0
ENST00000236147.6	ENSG00000188404.10	0
ENST00000236166.5	ENSG00000117507.7	0
ENST00000236192.12	ENSG00000117533.15	0
ENST00000236255.4	ENSG00000158055.17	0
ENST00000236273.9	ENSG00000117614.10	0
ENST00000236342.12	ENSG00000117682.18	0.5
ENST00000236412.11	ENSG00000117751.18	0
ENST00000236495.9	ENSG00000117834.13	0
ENST00000236914.7	ENSG00000116833.14	0
ENST00000236925.9	ENSG00000118200.16	0
ENST00000236937.13	ENSG00000072694.22	0
ENST00000236938.12	ENSG00000132185.18	0
ENST00000237247.10	ENSG00000118473.23	0
ENST00000237724.9	ENSG00000118873.17	0
ENST00000238181.11	ENSG00000116977.19	0
ENST00000239461.11	ENSG00000116132.12	0
ENST00000239462.9	ENSG00000120332.17	0
ENST00000240185.8	ENSG00000120948.19	8
ENST00000240189.2	ENSG00000120952.4	0
ENST00000241337.9	ENSG00000213366.13	0
ENST00000241356.5	ENSG00000282608.2	0
ENST00000241651.5	ENSG00000122180.5	0
ENST00000241704.8	ENSG00000122218.17	5.98372
ENST00000242719.4	ENSG00000123091.5	0
ENST00000243167.9	ENSG00000117480.16	2
ENST00000243189.12	ENSG00000117616.18	0
ENST00000243440.2	ENSG00000123685.9	0
ENST00000243611.9	ENSG00000123843.13	0
ENST00000245564.8	ENSG00000125459.18	0
ENST00000245811.6	ENSG00000232036.2	0
ENST00000246151.9	ENSG00000057757.10	6
ENST00000246314.10	ENSG00000126070.20	0
ENST00000246337.9	ENSG00000126088.14	6.85714
ENST00000246421.4	ENSG00000290854.2	0
ENST00000247087.10	ENSG00000126705.15	0
ENST00000247986.2	ENSG00000117245.13	0
ENST00000247992.5	ENSG00000187980.7	0
ENST00000251157.10	ENSG00000116641.18	0
ENST00000251195.9	ENSG00000092853.14	0
ENST00000251296.4	ENSG00000117154.12	1
ENST00000251424.8	ENSG00000134365.15	0
ENST00000251507.8	ENSG00000152061.24	0
ENST00000251546.8	ENSG00000132879.14	0
ENST00000251547.10	ENSG00000132879.14	0
ENST00000252992.8	ENSG00000130695.16	2
ENST00000253063.4	ENSG00000130766.5	0
ENST00000253251.12	ENSG00000130939.20	0
ENST00000254090.9	ENSG00000131781.13	0
ENST00000254101.4	ENSG00000131791.8	0
ENST00000254227.4	ENSG00000131910.5	0
ENST00000254231.4	ENSG00000131914.11	4
ENST00000254521.8	ENSG00000132196.16	1
ENST00000254724.6	ENSG00000227962.1	0
ENST00000254821.10	ENSG00000132485.14	4.29005
ENST00000255030.9	ENSG00000132693.12	0
ENST00000255039.6	ENSG00000132702.13	0
ENST00000255040.3	ENSG00000132703.4	0
ENST00000255108.8	ENSG00000132768.14	5
ENST00000255380.8	ENSG00000133019.12	0
ENST00000255409.8	ENSG00000133048.13	0
ENST00000255416.9	ENSG00000133055.10	0
ENST00000255427.7	ENSG00000133063.16	0
ENST00000255432.11	ENSG00000133067.18	0
ENST00000256578.8	ENSG00000116337.20	0.33333
ENST00000256585.10	ENSG00000134193.15	0
ENST00000256592.3	ENSG00000134200.4	0
ENST00000256593.8	ENSG00000134201.12	0
ENST00000256594.7	ENSG00000134202.12	0
ENST00000256637.8	ENSG00000134243.12	0.5
ENST00000256640.9	ENSG00000134245.18	0
ENST00000256644.8	ENSG00000134248.14	0
ENST00000256646.7	ENSG00000134250.21	0
ENST00000256649.9	ENSG00000134253.10	1
ENST00000256652.8	ENSG00000134256.13	0
ENST00000256658.8	ENSG00000134262.15	1
ENST00000256785.5	ENSG00000134389.11	0
ENST00000257075.9	ENSG00000134644.16	0
ENST00000257100.7	ENSG00000134668.13	0
ENST00000257118.5	ENSG00000134686.21	0
ENST00000257177.9	ENSG00000134744.14	1.5
ENST00000257181.10	ENSG00000134748.13	7
ENST00000258229.14	ENSG00000135749.20	0
ENST00000258243.7	ENSG00000135763.10	0
ENST00000258281.7	ENSG00000135801.11	0
ENST00000258301.6	ENSG00000135823.14	1
ENST00000258302.8	ENSG00000135824.13	0
ENST00000258317.6	ENSG00000135838.14	0
ENST00000258341.5	ENSG00000135862.6	3
ENST00000258651.4	ENSG00000213703.2	0
ENST00000259154.9	ENSG00000136636.13	0
ENST00000260502.11	ENSG00000137936.18	0.2
ENST00000260505.13	ENSG00000137941.17	0.2
ENST00000260506.12	ENSG00000137942.18	0
ENST00000260508.9	ENSG00000137944.18	1
ENST00000260526.11	ENSG00000137962.13	0
ENST00000260563.4	ENSG00000137996.13	0
ENST00000261396.6	ENSG00000069248.12	0
ENST00000261441.9	ENSG00000081019.14	0
ENST00000261443.9	ENSG00000009307.17	0
ENST00000261448.6	ENSG00000118729.15	0
ENST00000261455.9	ENSG00000065600.13	2
ENST00000261458.8	ENSG00000054392.13	0
ENST00000261461.7	ENSG00000066027.12	1
ENST00000261464.10	ENSG00000082512.15	0.5
ENST00000261465.5	ENSG00000117594.10	0
ENST00000262340.6	ENSG00000116745.8	0
ENST00000262345.5	ENSG00000081985.14	0
ENST00000262346.6	ENSG00000118454.13	0
ENST00000262348.9	ENSG00000116729.14	0
ENST00000262450.8	ENSG00000116254.18	0
ENST00000262662.5	ENSG00000123080.12	0
ENST00000262675.11	ENSG00000085831.16	0
ENST00000262676.9	ENSG00000085831.16	0
ENST00000262741.10	ENSG00000117461.15	0
ENST00000262746.5	ENSG00000117450.15	1
ENST00000262915.8	ENSG00000126091.21	0
ENST00000263168.4	ENSG00000116489.13	10
ENST00000263174.9	ENSG00000099260.12	0
ENST00000263177.5	ENSG00000117598.14	0
ENST00000263187.4	ENSG00000057468.7	0
ENST00000263285.11	ENSG00000122224.19	0
ENST00000263440.6	ENSG00000088035.18	0
ENST00000263441.11	ENSG00000116675.16	0
ENST00000263511.8	ENSG00000290842.2	0
ENST00000263686.11	ENSG00000174175.17	0
ENST00000263688.4	ENSG00000094975.15	0.33333
ENST00000263694.9	ENSG00000060688.13	6
ENST00000263697.6	ENSG00000126698.11	11
ENST00000263702.11	ENSG00000116353.16	0
ENST00000263726.4	ENSG00000121454.6	1
ENST00000263733.5	ENSG00000116199.12	1
ENST00000263741.12	ENSG00000078808.20	0
ENST00000263826.12	ENSG00000117020.19	0
ENST00000263831.11	ENSG00000121644.19	0
ENST00000263893.10	ENSG00000122481.17	0
ENST00000263932.7	ENSG00000120949.15	0
ENST00000263934.10	ENSG00000054523.20	0
ENST00000263946.7	ENSG00000081277.13	0
ENST00000263974.4	ENSG00000120656.14	0
ENST00000263979.7	ENSG00000117643.16	0
ENST00000263980.8	ENSG00000090020.11	0
ENST00000264126.9	ENSG00000121957.15	1
ENST00000264128.13	ENSG00000085491.17	0
ENST00000264144.5	ENSG00000058085.15	0
ENST00000264181.6	ENSG00000086619.15	0
ENST00000264183.9	ENSG00000054267.22	0.9832
ENST00000264187.7	ENSG00000116962.15	0
ENST00000264198.5	ENSG00000090432.7	0
ENST00000264202.8	ENSG00000077549.19	15
ENST00000264203.7	ENSG00000077549.19	0
ENST00000264205.10	ENSG00000117298.16	0
ENST00000264211.13	ENSG00000075151.24	0
ENST00000264515.11	ENSG00000117222.14	0
ENST00000265259.5	ENSG00000213561.4	0
ENST00000270218.10	ENSG00000142224.18	0
ENST00000270691.10	ENSG00000268869.9	0
ENST00000270708.12	ENSG00000116213.16	0
ENST00000270720.11	ENSG00000142609.20	0
ENST00000270722.10	ENSG00000142611.17	0
ENST00000270747.8	ENSG00000142632.17	0
ENST00000270776.13	ENSG00000142657.21	6
ENST00000270792.10	ENSG00000142669.15	1
ENST00000270800.2	ENSG00000142677.4	0
ENST00000270812.6	ENSG00000142684.9	0
ENST00000270815.5	ENSG00000142686.8	0
ENST00000270824.1	ENSG00000142694.7	0
ENST00000270879.9	ENSG00000142748.14	0
ENST00000271002.15	ENSG00000142856.18	1
ENST00000271064.12	ENSG00000142910.16	0
ENST00000271139.13	ENSG00000142961.16	0
ENST00000271153.8	ENSG00000142973.16	0
ENST00000271227.11	ENSG00000143036.17	0
ENST00000271234.13	ENSG00000137942.18	0
ENST00000271277.11	ENSG00000143079.15	0
ENST00000271308.9	ENSG00000143106.13	4
ENST00000271324.6	ENSG00000143119.15	0
ENST00000271331.4	ENSG00000143125.6	0
ENST00000271332.4	ENSG00000143126.8	1
ENST00000271357.9	ENSG00000143147.15	0
ENST00000271373.9	ENSG00000143158.11	0
ENST00000271375.7	ENSG00000213064.10	0
ENST00000271385.9	ENSG00000198842.10	0
ENST00000271411.8	ENSG00000143190.23	1
ENST00000271417.8	ENSG00000143195.13	0
ENST00000271450.12	ENSG00000143226.16	0
ENST00000271452.8	ENSG00000143228.13	0.5
ENST00000271526.9	ENSG00000143294.15	5
ENST00000271532.2	ENSG00000163518.11	0
ENST00000271583.7	ENSG00000143337.19	0
ENST00000271588.9	ENSG00000143341.12	0
ENST00000271620.8	ENSG00000143363.17	0
ENST00000271628.9	ENSG00000143368.10	14
ENST00000271636.12	ENSG00000143375.15	2
ENST00000271638.3	ENSG00000163191.6	1
ENST00000271640.9	ENSG00000143379.13	0.33333
ENST00000271643.9	ENSG00000143382.16	0
ENST00000271651.8	ENSG00000143387.14	0
ENST00000271688.10	ENSG00000143418.20	0
ENST00000271690.12	ENSG00000143420.19	1
ENST00000271715.7	ENSG00000143442.24	0
ENST00000271732.8	ENSG00000143457.11	0
ENST00000271751.10	ENSG00000143473.14	0
ENST00000271764.7	ENSG00000143486.16	3
ENST00000271776.4	ENSG00000143494.16	0
ENST00000271835.3	ENSG00000143536.7	0
ENST00000271836.10	ENSG00000143537.14	0
ENST00000271843.9	ENSG00000143543.15	4
ENST00000271850.11	ENSG00000143549.22	0
ENST00000271854.3	ENSG00000143552.10	0
ENST00000271857.6	ENSG00000143554.14	0.5
ENST00000271877.11	ENSG00000143569.20	1
ENST00000271883.9	ENSG00000116580.20	1
ENST00000271889.8	ENSG00000143578.16	0
ENST00000271915.9	ENSG00000143603.19	0
ENST00000271971.7	ENSG00000135773.13	0
ENST00000272091.8	ENSG00000143751.10	0
ENST00000272102.10	ENSG00000143761.17	17
ENST00000272117.8	ENSG00000143772.11	0
ENST00000272133.4	ENSG00000143786.8	0
ENST00000272134.5	ENSG00000243709.1	9
ENST00000272139.5	ENSG00000143793.13	0
ENST00000272163.9	ENSG00000143815.15	3
ENST00000272164.6	ENSG00000143816.8	0
ENST00000272167.10	ENSG00000143819.13	4
ENST00000272190.9	ENSG00000143839.15	0
ENST00000272193.10	ENSG00000143842.15	0
ENST00000272198.10	ENSG00000143847.16	0
ENST00000272203.8	ENSG00000143850.17	0
ENST00000272217.7	ENSG00000143862.8	1
ENST00000278878.6	ENSG00000149527.18	0
ENST00000281087.6	ENSG00000151418.12	0
ENST00000281701.11	ENSG00000143748.18	0
ENST00000281834.4	ENSG00000117586.12	0
ENST00000281881.7	ENSG00000152092.16	0
ENST00000282169.8	ENSG00000152332.16	0
ENST00000282670.7	ENSG00000152760.10	0
ENST00000282841.9	ENSG00000152904.11	1
ENST00000282990.10	ENSG00000153029.16	0
ENST00000283110.7	ENSG00000236713.1	0
ENST00000283179.14	ENSG00000153187.21	0
ENST00000283225.2	ENSG00000153230.4	0
ENST00000284027.5	ENSG00000153898.13	0
ENST00000284031.13	ENSG00000153904.21	3
ENST00000284054.7	ENSG00000291014.1	0
ENST00000284142.7	ENSG00000154007.7	0
ENST00000284376.8	ENSG00000154222.15	0
ENST00000284476.7	ENSG00000154309.9	0
ENST00000284523.2	ENSG00000154342.6	0
ENST00000284548.16	ENSG00000154358.23	0.5
ENST00000284551.11	ENSG00000154370.16	0
ENST00000284563.7	ENSG00000154380.19	0
ENST00000284617.7	ENSG00000154429.11	0
ENST00000285735.6	ENSG00000155366.17	0
ENST00000286031.10	ENSG00000000460.17	0
ENST00000286193.2	ENSG00000187481.2	0
ENST00000286692.8	ENSG00000156171.15	0
ENST00000287474.9	ENSG00000156869.14	0
ENST00000287482.6	ENSG00000156876.10	0
ENST00000287713.7	ENSG00000157064.11	0
ENST00000287727.8	ENSG00000157077.16	0.5
ENST00000287859.11	ENSG00000157181.16	0
ENST00000287899.13	ENSG00000215883.11	0
ENST00000288774.8	ENSG00000157911.11	0
ENST00000289166.6	ENSG00000158246.8	6
ENST00000289248.6	ENSG00000158315.11	0
ENST00000289429.6	ENSG00000158477.7	0
ENST00000289703.8	ENSG00000158711.14	0
ENST00000289707.10	ENSG00000158714.11	0
ENST00000289731.2	ENSG00000158731.2	0
ENST00000289749.6	ENSG00000158747.15	0
ENST00000289753.2	ENSG00000158748.4	0
ENST00000289779.7	ENSG00000270149.5	0
ENST00000289815.13	ENSG00000158816.16	0
ENST00000289865.12	ENSG00000143258.17	1
ENST00000289877.8	ENSG00000162426.16	0
ENST00000289890.7	ENSG00000226438.1	0
ENST00000289893.8	ENSG00000127603.32	0
ENST00000289902.2	ENSG00000158869.11	0
ENST00000290039.6	ENSG00000158966.16	1
ENST00000290122.8	ENSG00000142789.20	0
ENST00000290167.11	ENSG00000162552.15	0
ENST00000290363.6	ENSG00000159208.16	0
ENST00000290419.9	ENSG00000077157.23	0
ENST00000290524.8	ENSG00000143390.18	0
ENST00000290541.7	ENSG00000159377.11	6
ENST00000290551.5	ENSG00000159388.6	0
ENST00000290583.9	ENSG00000159409.15	0
ENST00000290585.8	ENSG00000159409.15	0
ENST00000290597.9	ENSG00000159423.17	0
ENST00000290663.10	ENSG00000159479.17	0
ENST00000290702.4	ENSG00000229035.2	0
ENST00000290722.1	ENSG00000159527.4	0
ENST00000290795.7	ENSG00000159592.11	0
ENST00000291358.11	ENSG00000160051.12	0.5
ENST00000291386.4	ENSG00000160075.12	18.76204
ENST00000291416.10	ENSG00000116525.14	1
ENST00000292169.6	ENSG00000160678.12	0
ENST00000292176.2	ENSG00000160685.14	0
ENST00000292180.8	ENSG00000160688.19	0
ENST00000292211.5	ENSG00000160714.11	0.5
ENST00000292254.8	ENSG00000160753.17	2
ENST00000292291.10	ENSG00000160781.17	0
ENST00000292357.8	ENSG00000187800.14	0
ENST00000294337.7	ENSG00000162365.13	0
ENST00000294338.7	ENSG00000162366.8	0
ENST00000294339.3	ENSG00000162367.12	0
ENST00000294353.7	ENSG00000162378.13	0
ENST00000294360.5	ENSG00000162384.14	1
ENST00000294383.7	ENSG00000162402.15	1
ENST00000294401.11	ENSG00000007923.17	0
ENST00000294409.2	ENSG00000162419.13	0
ENST00000294413.13	ENSG00000188672.19	0.2
ENST00000294428.8	ENSG00000162437.15	0
ENST00000294435.8	ENSG00000162444.12	0
ENST00000294445.7	ENSG00000162456.10	0
ENST00000294454.6	ENSG00000162461.8	0
ENST00000294484.7	ENSG00000204624.8	0
ENST00000294485.6	ENSG00000162490.7	0
ENST00000294489.10	ENSG00000162493.17	1
ENST00000294507.4	ENSG00000162511.8	0
ENST00000294517.11	ENSG00000142920.18	0
ENST00000294521.7	ENSG00000162522.11	0
ENST00000294543.11	ENSG00000162542.14	0
ENST00000294599.8	ENSG00000162591.17	0
ENST00000294600.7	ENSG00000162592.10	0
ENST00000294623.8	ENSG00000162613.18	0
ENST00000294635.5	ENSG00000162621.7	0
ENST00000294638.9	ENSG00000162624.16	0
ENST00000294649.8	ENSG00000162631.20	0
ENST00000294661.8	ENSG00000162642.14	0
ENST00000294664.11	ENSG00000162643.13	0
ENST00000294671.3	ENSG00000213512.3	0
ENST00000294678.6	ENSG00000122417.16	0
ENST00000294702.6	ENSG00000162676.13	0
ENST00000294715.7	ENSG00000232527.9	0
ENST00000294724.8	ENSG00000162688.17	0
ENST00000294725.14	ENSG00000162687.19	0
ENST00000294728.7	ENSG00000162692.12	0
ENST00000294732.11	ENSG00000066279.19	0
ENST00000294737.11	ENSG00000213047.13	0
ENST00000294738.5	ENSG00000213047.13	0
ENST00000294740.3	ENSG00000162702.8	0
ENST00000294742.6	ENSG00000162704.16	0
ENST00000294753.8	ENSG00000162714.13	0.5
ENST00000294785.10	ENSG00000162736.18	3
ENST00000294794.8	ENSG00000162745.11	0
ENST00000294796.8	ENSG00000132185.18	0
ENST00000294811.2	ENSG00000162757.4	2
ENST00000294816.6	ENSG00000162761.14	0
ENST00000294818.2	ENSG00000162763.4	0
ENST00000294829.5	ENSG00000162771.8	0
ENST00000294848.12	ENSG00000162782.16	0
ENST00000294854.13	ENSG00000121446.20	0
ENST00000294868.8	ENSG00000157064.11	0
ENST00000294889.6	ENSG00000162817.7	0
ENST00000294981.8	ENSG00000162889.11	0
ENST00000294984.7	ENSG00000162892.16	0
ENST00000294997.10	ENSG00000197721.17	0
ENST00000295006.6	ENSG00000162909.18	3
ENST00000295008.8	ENSG00000162910.19	0
ENST00000295012.5	ENSG00000162913.10	0
ENST00000295033.7	ENSG00000162931.12	0
ENST00000295050.12	ENSG00000010072.16	0
ENST00000295051.11	ENSG00000162946.24	0
ENST00000295294.11	ENSG00000163141.20	0
ENST00000295314.9	ENSG00000163157.15	0
ENST00000295367.5	ENSG00000163209.15	0
ENST00000295530.6	ENSG00000160688.19	0
ENST00000295542.6	ENSG00000163357.11	0
ENST00000295566.8	ENSG00000163374.21	0
ENST00000295591.12	ENSG00000163395.17	0
ENST00000295598.10	ENSG00000163399.16	18
ENST00000295640.9	ENSG00000176393.11	4
ENST00000295682.6	ENSG00000163463.13	0.5
ENST00000295688.8	ENSG00000163468.15	22
ENST00000295694.9	ENSG00000163472.19	0
ENST00000295702.9	ENSG00000163479.14	8
ENST00000295706.9	ENSG00000143847.16	0
ENST00000295809.12	ENSG00000163565.20	0
ENST00000296214.10	ENSG00000163875.16	3
ENST00000296215.8	ENSG00000163877.11	0
ENST00000296218.8	ENSG00000163879.11	0
ENST00000296380.9	ENSG00000164002.12	0
ENST00000296387.6	ENSG00000164007.11	0
ENST00000296388.10	ENSG00000117385.16	4
ENST00000302035.11	ENSG00000117090.16	0
ENST00000302101.6	ENSG00000171786.6	0
ENST00000302118.5	ENSG00000169174.13	0.5
ENST00000302127.5	ENSG00000171385.11	0
ENST00000302206.9	ENSG00000143549.22	0
ENST00000302250.7	ENSG00000162391.12	0
ENST00000302271.11	ENSG00000125944.22	2.53703
ENST00000302291.9	ENSG00000169641.16	1
ENST00000302500.5	ENSG00000121940.17	0
ENST00000302550.16	ENSG00000121644.19	7
ENST00000302631.8	ENSG00000116521.12	3
ENST00000302692.7	ENSG00000171612.7	0
ENST00000302946.13	ENSG00000171790.16	0
ENST00000303143.9	ENSG00000171812.13	0
ENST00000303343.12	ENSG00000169241.19	0
